age,income,tenure_months,engagement_score,region,plan,churn
28,39919,6,33,South,Basic,1
35,47838,11,46,East,Basic,0
42,55757,16,59,West,Plus,0
49,63676,3,72,North,Plus,0
56,71595,8,85,South,Plus,0
63,79514,13,23,East,Premium,0
22,87433,18,36,West,Premium,0
29,95352,5,49,North,Premium,0
36,,10,62,South,Basic,0
43,111190,15,75,East,Basic,0
50,119109,2,88,West,Basic,1
57,35028,7,26,North,Plus,0
64,42947,12,39,South,Plus,1
23,50866,17,52,East,Plus,0
30,58785,4,65,West,Premium,0
37,66704,9,78,North,Premium,0
44,74623,14,91,South,Premium,0
51,82542,1,29,East,Basic,1
58,90461,6,42,West,Basic,1
65,98380,11,55,North,Basic,0
24,106299,16,68,South,Plus,0
31,114218,3,81,East,Plus,0
38,122137,8,94,West,Plus,0
45,38056,13,32,North,Premium,0
52,45975,18,45,South,Premium,1
59,53894,5,58,East,Premium,0
66,61813,10,71,West,Basic,0
25,,15,84,North,Basic,0
32,77651,2,22,South,Basic,1
39,85570,7,35,East,Plus,0
46,93489,12,48,West,Plus,0
53,101408,17,61,North,Plus,0
60,109327,4,74,South,Premium,1
67,117246,9,87,East,Premium,0
26,33165,14,25,West,Premium,0
33,41084,1,38,North,Basic,1
40,49003,6,51,South,Basic,0
47,56922,11,64,East,Basic,0
54,64841,16,77,West,Plus,0
61,72760,3,90,North,Plus,0
68,80679,8,28,South,Plus,1
27,88598,13,41,East,Premium,0
34,96517,18,54,West,Premium,0
41,104436,5,67,North,Premium,0
48,112355,10,80,South,Basic,0
55,120274,15,93,East,Basic,0
62,36193,2,31,West,Basic,1
21,44112,7,44,North,Plus,0
28,52031,12,57,South,Plus,0
35,59950,17,70,East,Plus,0
42,67869,4,83,West,Premium,0
49,75788,9,21,North,Premium,0
56,83707,14,34,South,Premium,1
63,91626,1,47,East,Basic,1
22,99545,6,60,West,Basic,0
29,107464,11,73,North,Basic,0
36,,16,86,South,Plus,0
43,123302,3,24,East,Plus,0
50,39221,8,37,West,Plus,0
57,47140,13,50,North,Premium,0
64,55059,18,63,South,Premium,0
23,62978,5,76,East,Premium,0
30,70897,10,89,West,Basic,0
37,78816,15,27,North,Basic,0
44,86735,2,40,South,Basic,1
51,94654,7,53,East,Plus,0
58,102573,12,66,West,Plus,0
65,110492,17,79,North,Plus,0
24,118411,4,92,South,Premium,0
31,34330,9,30,East,Premium,0
38,42249,14,43,West,Premium,0
45,50168,1,56,North,Basic,0
52,58087,6,69,South,Basic,1
59,66006,11,82,East,Basic,0
66,73925,16,20,West,Plus,0
25,81844,3,33,North,Plus,0
32,89763,8,46,South,Plus,0
39,97682,13,59,East,Premium,0
46,105601,18,72,West,Premium,0
53,113520,5,85,North,Premium,0
