size_sqft,bedrooms,age_years,commute_min,neighborhood,price
682,1,3,15,Suburban,242108
714,1,6,22,Riverside,259094
746,1,9,29,Hills,270941
778,1,12,36,Central,282586
810,1,15,43,Suburban,228973
842,1,18,8,Riverside,282858
874,1,21,15,Hills,293609
906,1,24,22,Central,304006
938,1,27,29,Suburban,249044
970,1,30,36,Riverside,263733
1002,1,33,43,Hills,273096
1034,1,36,8,Central,319969
1066,1,39,15,Suburban,263799
1098,2,42,22,Riverside,289444
1130,2,0,29,Hills,363220
1162,2,3,36,Central,371695
1194,2,6,,Suburban,315191
1226,2,9,8,Riverside,366578
1258,2,12,15,Hills,375324
1290,2,15,22,Central,384289
1322,2,18,29,Suburban,328526
1354,2,21,36,Riverside,343076
1386,2,24,43,Hills,352967
1418,2,27,8,Central,401015
1450,2,30,15,Suburban,346620
1482,2,33,22,Riverside,362569
1514,2,36,29,Hills,373836
1546,3,39,36,Central,397379
1578,3,42,43,Suburban,344149
1610,3,0,8,Riverside,464136
1642,3,3,15,Hills,476173
1674,3,6,22,Central,488238
1706,3,9,29,Suburban,435263
1738,3,12,36,Riverside,452177
1770,3,15,43,Hills,463912
1802,3,18,8,Central,513213
1834,3,21,15,Suburban,459428
1866,3,24,22,Riverside,475321
1898,3,27,29,Hills,485866
1930,3,30,36,Central,496054
1962,3,33,43,Suburban,440886
1994,4,36,8,Riverside,505181
2026,4,39,15,Hills,514369
2058,4,42,22,Central,523294
2090,4,0,29,Suburban,532259
2122,4,3,,Riverside,545826
2154,4,6,43,Hills,554312
2186,4,9,8,Central,600592
2218,4,12,15,Suburban,544132
2250,4,15,22,Riverside,557804
2282,4,18,29,Hills,566672
2314,4,21,36,Central,575790
2346,4,24,43,Suburban,520206
2378,4,27,8,Riverside,572752
2410,4,30,15,Hills,582851
2442,5,33,22,Central,605308
2474,5,36,29,Suburban,551117
2506,5,39,36,Riverside,567255
2538,5,42,43,Hills,578689
2570,5,0,8,Central,693421
2602,5,3,15,Suburban,640296
2634,5,6,22,Riverside,657300
2666,5,9,29,Hills,669362
2698,5,12,36,Central,681413
2730,5,15,43,Suburban,628381
2762,5,18,8,Riverside,682998
2794,5,21,15,Hills,694603
2826,5,24,22,Central,705942
2858,5,27,29,Suburban,651973
2890,1,30,36,Riverside,619665
2922,1,33,43,Hills,630002
2954,1,36,8,Central,677780
2986,1,39,15,Suburban,622413
3018,1,42,22,Riverside,636724
3050,1,0,29,Hills,711002
3082,1,3,36,Central,719797
3114,1,6,43,Suburban,663418
3146,1,9,8,Riverside,714729
3178,1,12,15,Hills,723203
3210,1,15,22,Central,731709
